iter	RMSE
0	9.952791339
1	9.922356972
2	9.90281385
3	9.874035773
4	9.837543864
5	9.815035615
6	9.800489094
7	9.758251475
8	9.738585612
9	9.727965343
10	9.685693084
11	9.671798198
12	9.624772185
13	9.596839589
14	9.539288892
15	9.50356417
16	9.494169498
17	9.468336241
18	9.441448124
19	9.410988199
20	9.38004238
21	9.352073021
22	9.320580283
23	9.299103507
24	9.280922132
25	9.240677314
26	9.205273021
27	9.173815802
28	9.124595848
29	9.112443677
30	9.098967813
31	9.076865484
32	9.041619779
33	9.025021021
34	9.015657831
35	8.977751287
36	8.929860639
37	8.90968931
38	8.864385951
39	8.83883653
40	8.819362156
41	8.804480118
42	8.788999893
43	8.773358894
44	8.753990223
45	8.738494432
46	8.715030218
47	8.699471324
48	8.646627106
49	8.619523267
50	8.573062042
51	8.553238677
52	8.515016637
53	8.491435788
54	8.474495543
55	8.422826004
56	8.407198197
57	8.383496667
58	8.353564714
59	8.320548277
60	8.310266702
61	8.277928367
62	8.263875211
63	8.228605654
64	8.183654039
65	8.163167211
66	8.144327538
67	8.125768473
68	8.096533876
69	8.077225704
70	8.056448958
71	8.017599601
72	8.00605034
73	7.976532756
74	7.959700068
75	7.933448096
76	7.916175012
77	7.906218237
78	7.885995755
79	7.871348679
80	7.857274723
81	7.851015814
82	7.837025461
83	7.825960693
84	7.813883827
85	7.806520583
86	7.797296031
87	7.772021
88	7.763601085
89	7.742735898
90	7.722513498
91	7.716153105
92	7.684960158
93	7.66589998
94	7.653645517
95	7.641721719
96	7.627570604
97	7.591012317
98	7.587380741
99	7.573138446
100	7.565647349
101	7.529755641
102	7.522004253
103	7.510197041
104	7.480574299
105	7.467833004
106	7.448043224
107	7.43218757
108	7.395206155
109	7.372823989
110	7.335808417
111	7.320484573
112	7.308630837
113	7.295551922
114	7.277499954
115	7.24958281
116	7.238074047
117	7.208114313
118	7.190567906
119	7.164324499
120	7.154361802
121	7.121118753
122	7.097661669
123	7.078296726
124	7.041405482
125	7.034155785
126	7.027824878
127	7.015931981
128	7.013166522
129	7.000975986
130	6.987076536
131	6.975169656
132	6.954949002
133	6.936825808
134	6.921145276
135	6.899691813
136	6.889612291
137	6.860761748
138	6.845016387
139	6.83008155
140	6.803738102
141	6.789898866
142	6.76918771
143	6.76085892
144	6.744746063
145	6.722847705
146	6.72001804
147	6.683989314
148	6.670988835
149	6.643886681
150	6.626261998
151	6.598776773
152	6.581849928
153	6.556552583
154	6.549957076
155	6.522828874
156	6.509007861
157	6.503097557
158	6.491942937
159	6.470971837
160	6.445255166
161	6.437538857
162	6.430233351
163	6.421962573
164	6.399307913
165	6.392260997
166	6.37663589
167	6.358198334
168	6.350087777
169	6.342476001
170	6.332620561
171	6.306842824
172	6.296925231
173	6.281333816
174	6.278587192
175	6.271385034
176	6.261793284
177	6.254680993
178	6.237151235
179	6.209477571
180	6.190200744
181	6.17618334
182	6.1646919
183	6.13755544
184	6.132027114
185	6.124326893
186	6.121489045
187	6.110223439
188	6.105252414
189	6.083117456
190	6.06027695
191	6.038705827
192	6.026388974
193	6.006950573
194	5.995136159
195	5.977917708
196	5.956898245
197	5.942989403
198	5.909756407
199	5.900907313
200	5.875471614
201	5.844685845
202	5.825180623
203	5.818001049
204	5.808701744
205	5.800132195
206	5.795721301
207	5.773364229
208	5.762611038
209	5.738396489
210	5.708536953
211	5.686443486
212	5.670257534
213	5.661495592
214	5.646026767
215	5.624370156
216	5.613165797
217	5.607221494
218	5.588794249
219	5.574263611
220	5.561680455
221	5.547346367
222	5.54046958
223	5.524119561
224	5.515831523
225	5.495930672
226	5.473428414
227	5.45470879
228	5.448041648
229	5.440812119
230	5.426003982
231	5.419547457
232	5.399481362
233	5.383101302
234	5.377244208
235	5.364137864
236	5.353965385
237	5.350930166
238	5.334612343
239	5.327020232
240	5.309790655
241	5.294119041
242	5.281191277
243	5.263432882
244	5.256353357
245	5.245474925
246	5.242410369
247	5.22183142
248	5.214844855
249	5.194776045
250	5.177115859
251	5.155228581
252	5.148850902
253	5.130785373
254	5.109005665
255	5.082660421
256	5.071488981
257	5.051662554
258	5.045882876
259	5.031540668
260	5.018402882
261	5.00365814
262	4.98814342
263	4.977665114
264	4.955673185
265	4.930624053
266	4.924807508
267	4.912531732
268	4.893438005
269	4.877859446
270	4.871007934
271	4.852056853
272	4.829642285
273	4.804414769
274	4.781105252
275	4.770690307
276	4.76110904
277	4.752231941
278	4.735435708
279	4.707606681
280	4.691764789
281	4.681024802
282	4.678407841
283	4.66501867
284	4.647569667
285	4.640799579
286	4.635244903
287	4.616393309
288	4.613626312
289	4.610752687
290	4.5926292
291	4.574201532
292	4.55527362
293	4.536821891
294	4.530990263
295	4.512661018
296	4.493952891
297	4.482480336
298	4.465985973
299	4.460000291
300	4.44334802
301	4.422918577
302	4.406310532
303	4.386350675
304	4.370146875
305	4.353186963
306	4.331868864
307	4.319041499
308	4.314456306
309	4.297239939
310	4.28044378
311	4.266809366
312	4.249724342
313	4.23754599
314	4.219177114
315	4.205118219
316	4.191987082
317	4.177499561
318	4.158441745
319	4.142845668
320	4.128946729
321	4.110961551
322	4.097304072
323	4.082627498
324	4.078473807
325	4.064838606
326	4.050380906
327	4.045594424
328	4.028786058
329	4.016265288
330	4.000589457
331	3.980554761
332	3.961433536
333	3.945865437
334	3.934215583
335	3.92041715
336	3.905023494
337	3.888467416
338	3.871020009
339	3.86003023
340	3.846051905
341	3.841158345
342	3.824092322
343	3.811407047
344	3.796891466
345	3.792027267
346	3.777954774
347	3.774906692
348	3.771867208
349	3.756166977
350	3.754092679
351	3.743530726
352	3.731048879
353	3.717443587
354	3.705678199
355	3.691257193
356	3.677820614
357	3.663666108
358	3.659276213
359	3.654326951
360	3.641101395
361	3.621175928
362	3.618075842
363	3.605457353
364	3.591133314
365	3.578499177
366	3.565213402
367	3.550776055
368	3.546578492
369	3.543828865
370	3.533612189
371	3.520887859
372	3.503560333
373	3.489793529
374	3.487094561
375	3.474332061
376	3.462178506
377	3.449011465
378	3.43830527
379	3.42698631
380	3.415372396
381	3.403030793
382	3.391920789
383	3.380905035
384	3.369648585
385	3.366633977
386	3.352206767
387	3.349671662
388	3.346684171
389	3.334969989
390	3.320582511
391	3.317634849
392	3.315148516
393	3.304557099
394	3.288930029
395	3.277868325
396	3.275424248
397	3.264759003
398	3.24747594
399	3.238050249
400	3.221034295
401	3.217223933
402	3.207702457
403	3.198257842
404	3.189120963
405	3.186772906
406	3.177717726
407	3.160698906
408	3.157015966
409	3.14065626
410	3.13048134
411	3.121800992
412	3.113067677
413	3.09710277
414	3.094432599
415	3.084519511
416	3.080973805
417	3.067569809
418	3.06494052
419	3.061433341
420	3.057940485
421	3.055337375
422	3.042788283
423	3.039334202
424	3.029934678
425	3.020391787
426	3.005072896
427	3.001669399
428	2.992290741
429	2.989760964
430	2.974772691
431	2.972260547
432	2.969756089
433	2.96725929
434	2.964770128
435	2.950009558
436	2.947537849
437	2.945073706
438	2.936063161
439	2.933612385
440	2.931169101
441	2.927735868
442	2.92530874
443	2.91085064
444	2.908440689
445	2.906038115
446	2.897609344
447	2.894425371
448	2.885623869
449	2.871493438
450	2.869133929
451	2.85720231
452	2.854859765
453	2.85252443
454	2.85019628
455	2.847875293
456	2.844781728
457	2.842476031
458	2.840177432
459	2.837885908
460	2.833865844
461	2.831588893
462	2.829318947
463	2.825335965
464	2.82308044
465	2.810185768
466	2.796635434
467	2.788293849
468	2.780018647
469	2.777808703
470	2.775605583
471	2.773409265
472	2.771219728
473	2.769036951
474	2.766860911
475	2.754415809
476	2.741381342
477	2.739227177
478	2.736166131
479	2.734026359
480	2.73189322
481	2.729766691
482	2.72764675
483	2.725533377
484	2.723426551
485	2.72132625
486	2.713161214
487	2.711072764
488	2.708990775
489	2.706915226
490	2.694885194
491	2.69282191
492	2.68987514
493	2.678006177
494	2.675962411
495	2.673925004
496	2.671893935
497	2.660184479
498	2.652546471
499	2.650538227
500	2.648536251
501	2.637029856
502	2.629190848
503	2.627205997
504	2.619743512
505	2.616916423
506	2.614955602
507	2.613000912
508	2.611052332
509	2.603694257
510	2.600912964
511	2.598144161
512	2.586971375
513	2.585058834
514	2.58231967
515	2.571297607
516	2.564143825
517	2.562476765
518	2.554930796
519	2.553272782
520	2.55058534
521	2.548937247
522	2.547293362
523	2.545653674
524	2.53488844
525	2.533257837
526	2.531631419
527	2.530009176
528	2.528391094
529	2.526777162
530	2.516166773
531	2.514561805
532	2.504085163
533	2.502489046
534	2.500897071
535	2.499309226
536	2.497725498
537	2.496145874
538	2.494570342
539	2.492998888
540	2.491431502
541	2.481119725
542	2.479561077
543	2.478006487
544	2.476455941
545	2.474909428
546	2.464741819
547	2.463203936
548	2.461670076
549	2.460140226
550	2.458614374
551	2.457092507
552	2.447071762
553	2.445558419
554	2.444049052
555	2.442543649
556	2.441042195
557	2.439544679
558	2.42966889
559	2.428179795
560	2.426694628
561	2.425213378
562	2.42373603
563	2.422262572
564	2.412529863
565	2.411064725
566	2.409603468
567	2.40814608
568	2.406692547
569	2.397096666
570	2.395651353
571	2.394209889
572	2.392772259
573	2.39133845
574	2.389908447
575	2.380451979
576	2.3790301
577	2.377612022
578	2.376197731
579	2.369324284
580	2.367918165
581	2.36651578
582	2.365117116
583	2.363722161
584	2.362330903
585	2.353060702
586	2.351677474
587	2.350297936
588	2.348922075
589	2.347549877
590	2.34618133
591	2.337800656
592	2.33644151
593	2.335085948
594	2.333733959
595	2.332385533
596	2.331040658
597	2.329699324
598	2.32836152
599	2.319322461
600	2.317992613
601	2.316666286
602	2.31534347
603	2.314024153
604	2.3058539
605	2.304543578
606	2.303236699
607	2.301933252
608	2.300633228
609	2.299336617
610	2.298043411
611	2.289988432
612	2.288703896
613	2.287422715
614	2.286144882
615	2.284870388
616	2.283599224
617	2.275651981
618	2.268605482
619	2.267346062
620	2.266089926
621	2.264837065
622	2.263587473
623	2.256646702
624	2.255403682
625	2.25416391
626	2.252927377
627	2.251694077
628	2.244857701
629	2.243630912
630	2.242407334
631	2.234675546
632	2.233460109
633	2.226751335
634	2.225542365
635	2.224336556
636	2.2231339
637	2.22193439
638	2.215327185
639	2.214134079
640	2.212944099
641	2.211757238
642	2.204197998
643	2.199845255
644	2.193392938
645	2.192221394
646	2.187329591
647	2.186165539
648	2.185004537
649	2.178677301
650	2.173865606
651	2.172715236
652	2.171567886
653	2.166805763
654	2.158962748
655	2.154256794
656	2.148133214
657	2.143496346
658	2.135793449
659	2.131211514
660	2.127237645
661	2.125337252
662	2.11775263
663	2.113264028
664	2.111384468
665	2.106939588
666	2.105073942
667	2.097616501
668	2.093229981
669	2.091385824
670	2.087042144
671	2.085209361
672	2.077877288
673	2.073589338
674	2.071776283
675	2.067528804
676	2.065727681
677	2.058519175
678	2.053581087
679	2.046353516
680	2.044582893
681	2.04044099
682	2.038682053
683	2.033856128
684	2.026804932
685	2.019745006
686	2.015006757
687	2.013284593
688	2.008593333
689	2.004597772
690	2.002893849
691	1.996008409
692	1.994319114
693	1.992633993
694	1.988057642
695	1.986386171
696	1.979620933
697	1.97796043
698	1.971150601
699	1.966671709
700	1.960033782
701	1.955625378
702	1.953998905
703	1.952377062
704	1.946259031
705	1.941924036
706	1.940322728
707	1.933873777
708	1.932283382
709	1.930699304
710	1.929119539
711	1.922753484
712	1.91909481
713	1.912556051
714	1.90894247
715	1.907390341
716	1.901160672
717	1.89638516
718	1.894851911
719	1.891316383
720	1.886605414
721	1.881936014
722	1.877307764
723	1.875798634
724	1.872350622
725	1.86778451
726	1.863258572
727	1.858772406
728	1.855405365
729	1.853923744
730	1.849498433
731	1.845111939
732	1.840763873
733	1.837479204
734	1.836021668
735	1.83173221
736	1.827951525
737	1.824732718
738	1.821007054
739	1.817832586
740	1.811729408
741	1.808595009
742	1.807178729
743	1.804074948
744	1.799937392
745	1.796349777
746	1.793470344
747	1.789194286
748	1.78567667
749	1.782677592
750	1.776789299
751	1.773993308
752	1.77055788
753	1.767622918
754	1.761840993
755	1.759110572
756	1.758290939
757	1.754920118
758	1.7520497
759	1.746374645
760	1.743541118
761	1.742732905
762	1.73942267
763	1.733838869
764	1.731217086
765	1.727958612
766	1.725194471
767	1.719711895
768	1.716983536
769	1.716193636
770	1.710784669
771	1.708256426
772	1.707472691
773	1.704299369
774	1.702388562
775	1.697072729
776	1.695177717
777	1.692062289
778	1.690187949
779	1.688325502
780	1.684444308
781	1.68138006
782	1.679544867
783	1.677721272
784	1.674698838
785	1.672894996
786	1.669087722
787	1.666106655
788	1.664329106
789	1.662562732
790	1.658812775
791	1.655880429
792	1.654139723
793	1.651339728
