iter	Passed	Remaining
0	141	262531
1	141	131455
2	141	87728
3	141	65861
4	142	52741
5	142	43993
6	142	37742
7	142	33055
8	142	29422
9	143	26514
10	143	24131
11	143	22141
12	143	20457
13	144	19015
14	144	17767
15	144	16682
16	144	15715
17	145	14855
18	145	14086
19	145	13393
20	145	12767
21	145	12197
22	146	11694
23	146	11217
24	146	10777
25	146	10371
26	147	9996
27	147	9647
28	147	9323
29	147	9020
30	147	8736
31	148	8470
32	148	8221
33	148	7985
34	148	7763
35	148	7555
36	149	7357
37	149	7170
38	149	6996
39	149	6827
40	150	6666
41	150	6513
42	150	6366
43	150	6227
44	150	6094
45	151	5967
46	151	5848
47	151	5733
48	151	5621
49	152	5515
50	152	5412
51	152	5312
52	152	5217
53	153	5125
54	153	5036
55	153	4950
56	153	4868
57	153	4788
58	154	4711
59	154	4638
60	154	4566
61	154	4497
62	155	4429
63	155	4364
64	155	4300
65	155	4239
66	156	4180
67	156	4122
68	156	4066
69	156	4012
70	156	3959
71	157	3908
72	157	3858
73	157	3809
74	157	3761
75	158	3716
76	158	3670
77	158	3626
78	158	3585
79	159	3544
80	159	3506
81	159	3467
82	160	3430
83	160	3392
84	160	3355
85	160	3319
86	161	3285
87	161	3250
88	161	3217
89	161	3184
90	161	3152
91	162	3120
92	162	3090
93	162	3059
94	162	3030
95	163	3002
96	163	2974
97	163	2946
98	163	2919
99	164	2892
100	164	2865
101	164	2840
102	164	2815
103	165	2790
104	165	2765
105	165	2741
106	165	2719
107	166	2696
108	166	2673
109	166	2651
110	166	2630
111	166	2608
112	167	2587
113	167	2566
114	167	2547
115	167	2527
116	168	2507
117	168	2488
118	168	2468
119	168	2450
120	168	2431
121	169	2413
122	169	2395
123	169	2377
124	169	2360
125	170	2343
126	170	2326
127	170	2310
128	170	2293
129	170	2277
130	171	2262
131	171	2246
132	171	2232
133	171	2217
134	172	2202
135	172	2188
136	172	2173
137	172	2159
138	173	2145
139	173	2131
140	173	2118
141	173	2104
142	173	2091
143	174	2078
144	174	2065
145	174	2052
146	174	2040
147	175	2027
148	175	2015
149	175	2004
150	175	1992
151	176	1980
152	176	1969
153	176	1957
154	176	1946
155	177	1935
156	177	1924
157	177	1913
158	177	1903
159	177	1892
160	178	1882
161	178	1871
162	178	1861
163	178	1851
164	179	1841
165	179	1831
166	179	1821
167	179	1811
168	179	1801
169	180	1792
170	180	1783
171	180	1774
172	180	1765
173	181	1756
174	181	1747
175	181	1738
176	181	1729
177	181	1720
178	182	1712
179	182	1703
180	182	1695
181	182	1687
182	182	1678
183	183	1670
184	183	1662
185	183	1655
186	183	1647
187	184	1639
188	184	1631
189	184	1623
190	184	1616
191	185	1609
192	185	1602
193	185	1594
194	185	1587
195	185	1580
196	186	1573
197	186	1565
198	186	1558
199	186	1551
200	186	1544
201	187	1538
202	187	1532
203	187	1525
204	187	1519
205	188	1513
206	188	1506
207	188	1500
208	188	1493
209	189	1487
210	189	1481
211	189	1475
212	189	1468
213	189	1462
214	190	1456
215	190	1452
216	190	1446
217	191	1440
218	191	1434
219	191	1429
220	191	1423
221	191	1418
222	192	1412
223	192	1406
224	192	1401
225	192	1396
226	193	1390
227	193	1385
228	193	1380
229	193	1375
230	194	1370
231	194	1365
232	194	1360
233	194	1355
234	195	1350
235	195	1345
236	195	1340
237	195	1335
238	195	1330
239	196	1325
240	196	1320
241	196	1316
242	196	1311
243	197	1307
244	197	1303
245	197	1299
246	198	1295
247	198	1290
248	198	1286
249	198	1282
250	199	1279
251	199	1275
252	199	1270
253	200	1266
254	200	1262
255	200	1257
256	200	1253
257	200	1249
258	201	1245
259	201	1240
260	201	1236
261	201	1232
262	201	1228
263	202	1223
264	202	1219
265	202	1215
266	202	1211
267	203	1207
268	203	1203
269	203	1199
270	203	1195
271	203	1191
272	204	1187
273	204	1183
274	204	1180
275	204	1176
276	204	1172
277	205	1168
278	205	1165
279	205	1161
280	205	1157
281	206	1154
282	206	1150
283	206	1147
284	206	1143
285	206	1140
286	207	1136
287	207	1133
288	207	1130
289	207	1126
290	208	1123
291	208	1119
292	208	1116
293	208	1113
294	208	1110
295	209	1106
296	209	1103
297	209	1100
298	209	1096
299	210	1093
300	210	1090
301	210	1089
302	211	1086
303	211	1083
304	211	1079
305	211	1076
306	211	1073
307	212	1070
308	212	1067
309	212	1064
310	212	1061
311	213	1058
312	213	1055
313	213	1052
314	213	1049
315	213	1046
316	214	1043
317	214	1040
318	214	1037
319	214	1035
320	214	1032
321	215	1029
322	215	1026
323	215	1023
324	215	1020
325	216	1017
326	216	1015
327	216	1012
328	216	1009
329	216	1006
330	217	1004
331	217	1001
332	217	998
333	217	996
334	218	993
335	218	991
336	218	988
337	218	985
338	218	983
339	219	980
340	219	978
341	219	975
342	219	972
343	219	970
344	220	967
345	220	965
346	220	962
347	220	960
348	220	957
349	221	955
350	221	952
351	221	950
352	221	947
353	221	945
354	222	943
355	222	940
356	222	938
357	222	936
358	223	933
359	223	931
360	223	929
361	223	926
362	223	924
363	224	922
364	224	920
365	224	917
366	224	915
367	225	913
368	225	911
369	225	909
370	225	907
371	225	905
372	226	903
373	226	901
374	226	898
375	226	896
376	227	894
377	227	892
378	227	890
379	227	888
380	227	886
381	228	884
382	228	882
383	228	879
384	228	877
385	229	875
386	229	873
387	229	871
388	229	869
389	229	867
390	230	865
391	230	863
392	230	861
393	230	859
394	230	857
395	231	855
396	231	853
397	231	851
398	231	849
399	232	847
400	232	846
401	232	844
402	232	842
403	232	840
404	233	838
405	233	836
406	233	834
407	233	832
408	233	830
409	234	828
410	234	827
411	234	825
412	234	823
413	234	821
414	235	820
415	235	818
416	235	816
417	235	814
418	236	813
419	236	811
420	236	809
421	236	807
422	236	805
423	237	804
424	237	802
425	237	800
426	237	798
427	237	797
428	238	795
429	238	793
430	238	792
431	238	790
432	238	788
433	239	787
434	239	785
435	239	783
436	239	782
437	240	780
438	240	778
439	240	777
440	240	775
441	240	773
442	241	772
443	241	770
444	241	769
445	241	767
446	242	766
447	242	764
448	242	763
449	242	761
450	242	760
451	243	758
452	243	756
453	243	755
454	243	753
455	243	752
456	244	750
457	244	749
458	244	747
459	244	745
460	244	744
461	245	742
462	245	741
463	245	739
464	245	738
465	245	736
466	246	735
467	246	733
468	246	732
469	246	730
470	246	729
471	247	727
472	247	726
473	247	725
474	247	723
475	248	722
476	248	721
477	248	720
478	248	718
479	249	717
480	249	715
481	249	714
482	249	712
483	249	711
484	250	710
485	250	708
486	250	707
487	250	706
488	250	704
489	251	703
490	251	701
491	251	700
492	251	699
493	252	698
494	252	696
495	252	695
496	252	694
497	252	692
498	253	691
499	253	690
500	253	689
501	253	687
502	254	686
503	254	685
504	254	683
505	254	682
506	254	681
507	255	680
508	255	678
509	255	677
510	255	676
511	256	675
512	256	673
513	256	672
514	256	671
515	256	670
516	257	668
517	257	667
518	257	666
519	257	665
520	257	663
521	258	662
522	258	661
523	258	660
524	258	659
525	259	658
526	259	657
527	259	655
528	259	654
529	259	653
530	260	652
531	260	650
532	260	649
533	260	648
534	261	647
535	261	646
536	261	645
537	261	643
538	261	642
539	262	641
540	262	640
541	262	639
542	262	638
543	262	636
544	263	635
545	263	634
546	263	633
547	263	632
548	263	631
549	264	630
550	264	629
551	264	627
552	264	626
553	264	625
554	265	624
555	265	623
556	265	622
557	265	621
558	266	620
559	266	619
560	266	618
561	266	617
562	266	615
563	267	614
564	267	613
565	267	612
566	267	611
567	267	610
568	268	609
569	268	608
570	268	607
571	268	606
572	269	605
573	269	604
574	269	603
575	269	602
576	269	601
577	270	599
578	270	598
579	270	597
580	270	596
581	270	595
582	271	594
583	271	593
584	271	592
585	271	591
586	271	590
587	272	589
588	272	588
589	272	587
590	272	586
591	273	585
592	273	585
593	273	584
594	273	583
595	274	582
596	274	581
597	274	580
598	274	579
599	275	578
600	275	577
601	275	576
602	275	575
603	275	574
604	276	573
605	276	572
606	276	572
607	276	571
608	277	570
609	277	569
610	277	568
611	277	567
612	278	566
613	278	565
614	278	564
615	278	563
616	278	562
617	279	561
618	279	560
619	279	560
620	279	559
621	280	558
622	280	557
623	280	556
624	280	555
625	280	554
626	281	553
627	281	552
628	281	551
629	281	551
630	282	550
631	282	549
632	282	548
633	282	547
634	282	546
635	283	545
636	283	544
637	283	544
638	283	543
639	283	542
640	284	541
641	284	540
642	284	539
643	284	538
644	285	537
645	285	537
646	285	536
647	285	535
648	286	534
649	286	533
650	286	532
651	286	532
652	286	531
653	287	530
654	287	529
655	287	528
656	287	527
657	287	526
658	288	525
659	288	525
660	288	524
661	288	523
662	289	522
663	289	521
664	289	520
665	289	520
666	289	519
667	290	518
668	290	517
669	290	516
670	290	515
671	290	515
672	291	514
673	291	513
674	291	512
675	291	511
676	291	510
677	292	510
678	292	509
679	292	508
680	292	507
681	293	506
682	293	506
683	293	505
684	293	504
685	293	503
686	294	503
687	294	502
688	294	501
689	294	500
690	294	499
691	295	499
692	295	498
693	295	497
694	295	496
695	296	495
696	296	495
697	296	494
698	296	493
699	296	492
700	297	492
701	297	491
702	297	490
703	297	489
704	297	488
705	298	488
706	298	487
707	298	486
708	298	485
709	298	485
710	299	484
711	299	483
712	299	483
713	299	482
714	300	482
715	300	481
716	301	481
717	301	480
718	302	480
719	303	480
720	303	480
721	304	480
722	304	479
723	305	479
724	305	479
725	306	478
726	306	478
727	307	478
728	307	478
729	308	477
730	308	477
731	308	476
732	309	476
733	309	476
734	310	475
735	310	475
736	310	474
737	311	474
738	311	473
739	312	473
740	312	473
741	313	472
742	313	472
743	314	472
744	314	471
745	315	471
746	315	470
747	315	470
748	316	470
749	316	469
750	317	469
751	318	469
752	318	469
753	318	468
754	319	468
755	319	467
756	320	467
757	320	467
758	321	466
759	321	466
760	322	466
761	322	465
762	322	465
763	323	464
764	323	464
765	324	464
766	324	463
767	325	463
768	325	462
769	326	462
770	326	462
771	327	462
772	327	461
773	328	461
774	328	460
775	328	460
776	329	460
777	330	459
778	330	459
779	330	458
780	331	458
781	331	458
782	332	457
783	332	457
784	333	457
785	333	456
786	334	456
787	334	456
788	335	455
789	335	455
790	336	455
791	336	454
792	337	454
793	337	454
794	338	453
795	338	453
796	339	453
797	339	452
798	340	452
799	340	452
800	341	451
801	341	451
802	342	451
803	342	450
804	343	450
805	343	450
806	344	449
807	344	449
808	345	449
809	345	448
810	346	448
811	346	448
812	347	447
813	347	447
814	348	447
815	348	446
816	349	446
817	349	446
818	350	445
819	350	445
820	350	444
821	351	444
822	351	443
823	352	443
824	352	442
825	352	442
826	353	441
827	353	441
828	353	440
829	354	440
830	354	439
831	355	439
832	355	438
833	355	438
