Time [s];Velocity [km/h];Longitudinal Acceleration [m/s2];SOC [%];Battery Temperature [degC];Battery Voltage [V];Battery Current [A];Heating Power CAN [kW];Ambient Temperature [degC]
0.0;0.18;-0.0529;79.96;22.29;377.0;-4.73;1.836;14.03
1.0;0.0;-0.0702;80.08;21.84;378.97;-2.83;1.265;13.32
2.0;0.45;0.1419;80.02;21.65;374.28;-4.63;1.154;13.43
3.0;0.56;0.0276;79.94;22.15;377.54;-0.57;1.162;13.95
4.0;0.0;-0.1828;79.93;21.89;375.85;-6.85;1.642;13.73
5.0;0.0;-0.027;79.86;21.79;376.6;-10.31;1.854;14.18
6.0;0.08;-0.0072;80.02;22.13;373.97;2.98;1.863;13.95
7.0;0.0;-0.0565;79.97;21.99;377.6;-7.42;2.121;13.87
8.0;0.0;0.0913;79.8;21.94;376.45;-7.27;1.71;13.54
9.0;0.0;0.0119;79.95;22.04;375.76;-5.26;1.979;13.92
10.0;0.53;0.182;79.92;21.97;376.52;-4.23;2.093;13.48
11.0;0.47;-0.0365;80.12;22.15;375.23;-6.1;1.521;14.13
12.0;0.04;-0.1261;79.86;22.3;374.92;-5.03;1.321;13.91
13.0;0.68;0.1483;79.88;21.96;375.1;-4.52;1.04;13.59
14.0;0.28;-0.216;80.08;22.15;373.85;-4.03;1.754;14.0
15.0;0.0;-0.133;80.1;22.37;377.15;-14.43;1.7;14.36
16.0;0.22;-0.011;79.93;22.04;377.2;2.73;1.263;13.75
17.0;0.0;-0.1514;79.94;21.64;374.94;-5.59;2.19;13.94
18.0;0.53;0.0986;80.04;21.92;376.4;-2.18;2.311;13.69
19.0;0.0;-0.0934;79.8;22.24;375.18;-10.51;1.285;13.82
20.0;0.0;-0.0018;79.84;21.73;375.97;-6.88;1.302;13.42
21.0;0.0;0.0516;79.96;22.0;375.08;-7.69;1.263;13.8
22.0;0.73;0.2202;80.11;22.17;375.07;1.58;1.414;13.81
23.0;0.0;-0.1725;79.95;22.13;377.07;-7.34;2.046;14.25
24.0;0.0;-0.036;79.99;21.94;375.82;-1.97;1.769;13.35
25.0;0.0;0.021;80.07;21.82;378.49;-7.6;1.098;13.73
26.0;0.32;0.1179;80.15;21.92;376.28;-6.51;1.497;14.12
27.0;0.22;-0.0509;79.94;22.02;374.67;-5.77;1.071;13.74
28.0;0.25;0.0303;79.98;22.05;377.34;0.37;1.451;13.76
29.0;0.26;0.0257;80.13;22.16;376.93;-12.31;1.417;13.59
30.0;1.28;0.2632;79.85;21.85;376.48;-9.04;1.803;13.57
31.0;0.0;-0.4019;80.05;22.06;377.45;-17.32;1.693;13.34
32.0;0.0;-0.0474;79.89;21.99;374.9;-9.35;2.128;13.64
33.0;0.0;0.0035;79.98;22.02;375.71;-8.25;0.951;13.55
34.0;0.37;0.1157;79.95;22.28;375.6;-11.11;1.883;13.83
35.0;0.68;0.0538;79.89;22.06;374.14;-7.29;1.152;13.6
36.0;0.0;-0.1871;79.89;22.14;375.37;-13.06;1.352;13.68
37.0;0.0;0.0228;79.99;22.11;377.49;-9.07;2.058;13.69
38.0;0.0;0.0247;80.05;21.9;376.29;-0.2;1.814;13.79
39.0;0.39;0.1705;79.96;22.01;374.2;-3.01;1.297;13.67
40.0;0.45;0.0665;79.97;22.26;373.98;-3.83;1.683;13.53
41.0;0.33;-0.0734;80.01;22.22;377.93;-8.7;1.955;13.82
42.0;0.0;-0.0232;79.89;22.13;375.57;-11.14;2.127;14.07
43.0;0.14;0.0175;80.02;21.97;375.18;-9.42;1.691;13.83
44.0;0.07;0.0225;80.03;22.24;375.64;-5.11;1.184;13.65
