Notebook,Feature_Set,Model,R2,MAE,RMSE
AB통합,전체피처,CatBoost,0.922431,2.655754,4.250781
AB통합,전체피처,XGBoost,0.904505,3.157521,4.716452
AB통합,전체피처,RandomForest,0.872648,3.565565,5.44663
AB통합,전체피처,LightGBM,0.674397,5.93738,8.709024
B만,전체피처,CatBoost,0.818519,3.934081,6.501907
B만,전체피처,RandomForest,0.798806,4.423195,6.845935
B만,전체피처,XGBoost,0.770398,4.24959,7.3133
B만,전체피처,LightGBM,0.680053,5.472082,8.633052
B만,selected,RandomForest,0.79847,4.32355,6.851653
B만,selected,CatBoost,0.793397,3.960282,6.937355
B만,selected,LightGBM,0.680053,5.472082,8.633052
B만,top20,CatBoost,0.841146,3.745918,6.083097
B만,top20,RandomForest,0.794885,4.257178,6.912315
B만,top20,LightGBM,0.661367,5.705209,8.881579
